,Province,Year,Population
871,Hà Tĩnh,2023,1323.7
872,Quảng Bình,2023,918.7
873,Quảng Trị,2023,654.2
874,Thừa Thiên Huế,2023,1166.5
875,Đà Nẵng,2023,1245.2
876,Quảng Nam,2023,1526.1
877,Quảng Ngãi,2023,1248.1
878,Bình Định,2023,1506.3
879,Phú Yên,2023,877.7
880,Khánh Hòa,2023,1260.6
881,Ninh Thuận,2023,601.2
882,Bình Thuận,2023,1258.8
884,Kon Tum,2023,591.3
885,Gia Lai,2023,1613.9
886,Đắk Lắk,2023,1931.5
887,Đắk Nông,2023,681.9
888,Lâm Đồng,2023,1345.0
890,Bình Phước,2023,1045.5
891,Tây Ninh,2023,1194.9
892,Bình Dương,2023,2823.4
893,Đồng Nai,2023,3310.9
894,Bà Rịa - Vũng Tàu,2023,1187.5
895,TP.Hồ Chí Minh,2023,9456.7
897,Long An,2023,1743.4
898,Tiền Giang,2023,1790.7
899,Bến Tre,2023,1299.3
900,Trà Vinh,2023,1019.9
901,Vĩnh Long,2023,1029.6
902,Đồng Tháp,2023,1600.2
903,An Giang,2023,1906.3
904,Kiên Giang,2023,1755.3
905,Cần Thơ,2023,1258.9
906,Hậu Giang,2023,728.3
907,Sóc Trăng,2023,1198.8
908,Bạc Liêu,2023,925.2
909,Cà Mau,2023,1207.4
912,Hà Nội,2024,8717.6
913,Vĩnh Phúc,2024,1225.3
914,Bắc Ninh,2024,1546.6
915,Quảng Ninh,2024,1396.5
916,Hải Dương,2024,1978.2
917,Hải Phòng,2024,2124.5
918,Hưng Yên,2024,1318.1
919,Thái Bình,2024,1890.4
920,Hà Nam,2024,894.2
921,Nam Định,2024,1894.2
922,Ninh Bình,2024,1030.3
924,Hà Giang,2024,911.4
925,Cao Bằng,2024,558.5
926,Bắc Kạn,2024,329.3
927,Tuyên Quang,2024,820.3
928,Lào Cai,2024,792.2
929,Yên Bái,2024,864.4
930,Thái Nguyên,2024,1365.2
931,Lạng Sơn,2024,814.0
932,Bắc Giang,2024,1962.6
933,Phú Thọ,2024,1543.9
934,Điện Biên,2024,656.7
935,Lai Châu,2024,495.5
936,Sơn La,2024,1330.6
937,Hòa Bình,2024,894.5
939,Thanh Hóa,2024,3764.2
940,Nghệ An,2024,3472.3
941,Hà Tĩnh,2024,1329.8
942,Quảng Bình,2024,924.8
943,Quảng Trị,2024,659.2
944,Thừa Thiên Huế,2024,1178.6
945,Đà Nẵng,2024,1276.0
946,Quảng Nam,2024,1543.9
947,Quảng Ngãi,2024,1259.9
948,Bình Định,2024,1518.5
949,Phú Yên,2024,885.2
950,Khánh Hòa,2024,1269.3
951,Ninh Thuận,2024,612.7
952,Bình Thuận,2024,1266.2
954,Kon Tum,2024,601.8
955,Gia Lai,2024,1634.9
956,Đắk Lắk,2024,1946.2
957,Đắk Nông,2024,695.7
958,Lâm Đồng,2024,1362.5
960,Bình Phước,2024,1062.3
961,Tây Ninh,2024,1202.8
962,Bình Dương,2024,2870.6
963,Đồng Nai,2024,3365.4
964,Bà Rịa - Vũng Tàu,2024,1194.6
965,TP.Hồ Chí Minh,2024,9543.6
967,Long An,2024,1756.2
968,Tiền Giang,2024,1796.1
969,Bến Tre,2024,1306.3
970,Trà Vinh,2024,1023.9
971,Vĩnh Long,2024,1037.3
972,Đồng Tháp,2024,1601.1
973,An Giang,2024,1912.6
974,Kiên Giang,2024,1766.7
975,Cần Thơ,2024,1271.7
976,Hậu Giang,2024,730.0
977,Sóc Trăng,2024,1205.3
978,Bạc Liêu,2024,928.7
979,Cà Mau,2024,1212.0
